orcamento,n_ras,custo_total,casos_cobertos,pop_atendida,casos_relativos
75512.0,1,75512.0,90,35348,0.002546112934253706
2037146.9387755103,7,2005808.0,9266,389227,0.023806159387709486
3998781.8775510206,11,3892120.0,13202,735559,0.01794825432086345
5960416.816326531,13,5836488.0,20229,993115,0.02036924223277264
7922051.755102041,15,7875680.0,24401,1267237,0.019255277426400902
9883686.693877552,17,9794400.0,27071,1530930,0.017682715734880106
11845321.632653061,18,11576784.0,30702,1819721,0.016871817163180508
13806956.571428573,20,13666784.0,34107,2140625,0.01593319708029197
15768591.510204082,20,15675032.0,37086,2304141,0.016095369163605874
17730226.448979594,21,17232016.0,40430,2585475,0.01563735870584709
19691861.387755103,22,18434088.0,43332,2799366,0.015479219223209826
21653496.326530613,22,21344208.0,45570,2842642,0.016030861431020862
23615131.265306123,23,23400176.0,48858,3222068,0.015163553345242869
25576766.204081632,24,25298312.0,50951,3370743,0.015115658476484264
27538401.142857146,24,26716544.0,52667,3406742,0.015459638563765615
29500036.081632655,25,28614680.0,54760,3555417,0.015401850190849624
31461671.020408165,25,31080464.0,55560,3633421,0.015291374162256451
33423305.959183674,26,32978600.0,57653,3782096,0.015243663830849349
35384940.89795919,26,34462968.0,58447,3792793,0.015410015785201037
37346575.8367347,27,36361104.0,60540,3941468,0.015359759358695796
39308210.77551021,27,36361104.0,60540,3941468,0.015359759358695796
41269845.71428572,26,41199536.0,68168,4167395,0.016357460715866867
43231480.653061226,27,43097672.0,70261,4316070,0.01627892967444921
45193115.591836736,27,44079088.0,70267,4383377,0.016030334602750346
47154750.530612245,28,46755200.0,68628,4611010,0.014883507084131243
49116385.469387755,28,47461592.0,73154,4542749,0.0161034651044995
51078020.408163264,28,47461592.0,73154,4542749,0.0161034651044995
53039655.34693878,27,52575048.0,76262,4904244,0.015550205087675083
55001290.28571429,28,54473184.0,78355,5052919,0.01550687830143329
56962925.2244898,28,55957552.0,79149,5063616,0.015630924619876387
58924560.16326531,29,57855688.0,81242,5212291,0.01558662016376292
60886195.10204082,29,60588312.0,81962,4955501,0.016539599124286323
62847830.04081633,29,60588312.0,81962,4955501,0.016539599124286323
64809464.97959184,28,64720352.0,85064,5249689,0.016203626538638764
66771099.91836735,29,66618488.0,87157,5398364,0.016145076545412647
68732734.85714287,29,67599904.0,87163,5465671,0.01594735577754314
70694369.79591838,29,70576160.0,88479,5483645,0.0161350707421797
72656004.73469388,30,70982408.0,90050,5625043,0.016008766510762672
74617639.6734694,30,70982408.0,90050,5625043,0.016008766510762672
76579274.6122449,30,70982408.0,90050,5625043,0.016008766510762672
78540909.55102041,29,77908216.0,88798,5493925,0.016162943614992924
80502544.48979592,30,79806352.0,90891,5642600,0.016107999858221388
82464179.42857143,30,81290720.0,91685,5653297,0.016217969797093626
84425814.36734694,31,83188856.0,93778,5801972,0.016163125227077964
86387449.30612245,31,83188856.0,93778,5801972,0.016163125227077964
88349084.24489796,31,83188856.0,93778,5801972,0.016163125227077964
90310719.18367347,31,83188856.0,93778,5801972,0.016163125227077964
92272354.12244898,31,91831704.0,95727,5981058,0.016005027872995046
94233989.06122449,31,92813120.0,95733,6048365,0.015827913824645174
96195624.0,32,96195624.0,98620,6207737,0.01588662664027165
